Median_House_Value,Latitude,Longitude
452600,37.88,-122.23
358500,37.86,-122.22
352100,37.85,-122.24
341300,37.85,-122.25
342200,37.85,-122.25
269700,37.85,-122.25
299200,37.84,-122.25
241400,37.84,-122.25
226700,37.84,-122.26
261100,37.84,-122.25
281500,37.85,-122.26
241800,37.85,-122.26
213500,37.85,-122.26
191300,37.84,-122.26
159200,37.85,-122.26
140000,37.85,-122.26
152500,37.85,-122.27
155500,37.85,-122.27
158700,37.84,-122.26
162900,37.84,-122.27
147500,37.85,-122.27
159800,37.85,-122.27
113900,37.84,-122.27
99700,37.84,-122.27
132600,37.84,-122.27
107500,37.85,-122.28
93800,37.85,-122.28
105500,37.85,-122.28
108900,37.84,-122.28
132000,37.84,-122.28
122300,37.84,-122.28
115200,37.84,-122.28
110400,37.84,-122.27
104900,37.83,-122.27
109700,37.83,-122.27
97200,37.83,-122.27
104500,37.83,-122.27
103900,37.83,-122.28
191400,37.83,-122.26
176000,37.83,-122.26
155400,37.83,-122.26
150000,37.83,-122.26
118800,37.84,-122.26
188800,37.84,-122.26
184400,37.83,-122.26
182300,37.83,-122.26
142500,37.83,-122.26
137500,37.82,-122.27
187500,37.82,-122.26
112500,37.82,-122.27
171900,37.82,-122.27
93800,37.82,-122.27
97500,37.82,-122.27
104200,37.82,-122.27
87500,37.82,-122.28
83100,37.82,-122.28
87500,37.82,-122.28
85300,37.82,-122.28
80300,37.82,-122.28
60000,37.82,-122.29
75700,37.83,-122.29
75000,37.82,-122.29
86100,37.81,-122.29
76100,37.81,-122.3
73500,37.81,-122.3
78400,37.81,-122.3
84400,37.81,-122.3
81300,37.8,-122.29
85000,37.81,-122.3
129200,37.81,-122.29
82500,37.81,-122.29
95200,37.81,-122.29
75000,37.81,-122.29
67500,37.81,-122.29
137500,37.81,-122.29
177500,37.81,-122.28
102100,37.81,-122.28
108300,37.81,-122.28
112500,37.81,-122.29
131300,37.8,-122.28
162500,37.81,-122.28
112500,37.81,-122.27
112500,37.81,-122.28
137500,37.81,-122.28
118800,37.81,-122.28
98200,37.81,-122.28
118800,37.81,-122.27
162500,37.81,-122.27
137500,37.8,-122.27
500001,37.8,-122.27
162500,37.8,-122.27
137500,37.8,-122.28
162500,37.8,-122.28
187500,37.79,-122.27
179200,37.8,-122.27
130000,37.8,-122.26
183800,37.82,-122.26
125000,37.81,-122.26
170000,37.82,-122.26
193100,37.82,-122.26
257800,37.81,-122.25
273400,37.81,-122.25
237500,37.81,-122.25
350000,37.81,-122.25
335700,37.81,-122.26
313400,37.82,-122.24
268500,37.81,-122.24
259400,37.81,-122.25
275700,37.82,-122.24
225000,37.82,-122.25
262500,37.82,-122.25
218500,37.82,-122.25
255000,37.82,-122.25
224100,37.83,-122.25
243100,37.83,-122.25
231600,37.83,-122.25
218500,37.83,-122.25
234100,37.83,-122.25
327600,37.84,-122.23
347600,37.84,-122.23
366100,37.83,-122.24
335000,37.85,-122.24
373600,37.85,-122.23
389500,37.84,-122.24
391100,37.85,-122.24
337300,37.85,-122.22
295200,37.84,-122.22
292300,37.84,-122.21
411500,37.83,-122.21
311500,37.84,-122.2
325900,37.84,-122.21
392600,37.84,-122.19
319300,37.84,-122.2
333300,37.83,-122.21
335200,37.83,-122.19
351200,37.83,-122.2
368900,37.83,-122.19
365900,37.82,-122.19
366700,37.82,-122.2
362800,37.82,-122.2
483300,37.81,-122.18
331400,37.82,-122.21
323500,37.81,-122.2
216700,37.8,-122.21
233100,37.8,-122.21
296400,37.81,-122.21
273700,37.81,-122.22
227700,37.8,-122.22
199600,37.8,-122.22
239800,37.8,-122.22
270100,37.81,-122.22
302100,37.81,-122.22
269500,37.8,-122.23
314700,37.81,-122.23
390100,37.81,-122.22
410300,37.81,-122.23
352400,37.81,-122.24
287300,37.81,-122.24
348700,37.81,-122.23
243800,37.81,-122.24
211500,37.8,-122.24
218400,37.8,-122.25
269900,37.81,-122.24
218800,37.81,-122.25
225000,37.8,-122.25
250000,37.8,-122.25
171400,37.8,-122.25
193800,37.8,-122.25
125000,37.79,-122.24
97500,37.79,-122.25
125000,37.79,-122.25
138800,37.79,-122.25
116700,37.8,-122.25
151800,37.8,-122.25
127000,37.8,-122.24
